test_id,variant,channels,amp,latency_cycles,coverage,wrong_channel_frac,fa_pre,n_pre,fa_post,n_post,cleared,cycles_inj,onnx_parity,off_latency_cycles,off_coverage,off_fa_pre,off_fa_post,off_cleared,common_cycles,sim_vs_off_diff
E-BAT-02b,MPCC_D_H1,Vbat,10.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,1.0518798828125497,2.0,1.0,0,0,True,35,0
E-BAT-02c,CRPR,Vbat,20.0,2.0,1.0,0.0,0,4,0,12,True,14,2.68524169921875,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_P,Vbat,20.0,2.0,1.0,0.0,0,4,1,12,False,14,4.340576171875,2.0,1.0,0,0,True,35,1
E-BAT-02c,MPCC_D,Vbat,20.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,3.3497314453124503,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_D_F1,Vbat,20.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,3.2922363281249503,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_D_F10,Vbat,20.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,3.31451416015625,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_D_R,Vbat,20.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,3.3185424804687003,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_D_M1,Vbat,20.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,3.2806396484375497,2.0,1.0,0,0,True,35,0
E-BAT-02c,MPCC_D_H1,Vbat,20.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,3.27215576171875,2.0,1.0,0,0,True,35,0
E-BAT-01n,CRPR,Ibat,-5.0,3.0,0.9285714285714286,0.7857142857142857,0,4,0,12,True,14,0.639892578125,2.0,1.0,0,0,True,35,3
E-BAT-01n,MPCC_P,Ibat,-5.0,3.0,0.9285714285714286,0.7857142857142857,0,4,0,12,True,14,0.7174072265625,2.0,1.0,0,2,False,35,5
E-BAT-01n,MPCC_D,Ibat,-5.0,2.0,1.0,0.2857142857142857,0,4,0,12,True,14,0.72802734375,2.0,1.0,0,0,True,35,3
E-BAT-01n,MPCC_D_F1,Ibat,-5.0,2.0,1.0,0.5714285714285714,0,4,0,12,True,14,0.7828369140625,2.0,1.0,0,0,True,35,2
E-BAT-01n,MPCC_D_F10,Ibat,-5.0,2.0,1.0,0.5714285714285714,0,4,0,12,True,14,0.78631591796875,2.0,1.0,0,0,True,35,4
E-BAT-01n,MPCC_D_R,Ibat,-5.0,2.0,1.0,0.42857142857142855,0,4,0,12,True,14,0.78436279296875,2.0,1.0,0,0,True,35,2
E-BAT-01n,MPCC_D_M1,Ibat,-5.0,3.0,0.9285714285714286,0.9285714285714286,0,4,0,12,True,14,0.869873046875,2.0,1.0,0,0,True,35,3
E-BAT-01n,MPCC_D_H1,Ibat,-5.0,2.0,1.0,0.7857142857142857,0,4,0,12,True,14,0.83074951171875,2.0,1.0,0,0,True,35,0
